Category: All categories

Day,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
2015-10-01,27,1,1
2015-10-02,27,<1,1
2015-10-03,27,<1,1
2015-10-04,27,<1,1
2015-10-05,26,<1,1
2015-10-06,31,1,1
2015-10-07,30,1,1
2015-10-08,31,<1,1
2015-10-09,27,1,1
2015-10-10,29,<1,1
2015-10-11,27,1,1
2015-10-12,27,1,1
2015-10-13,29,1,1
2015-10-14,31,1,1
2015-10-15,27,<1,1
2015-10-16,32,<1,1
2015-10-17,31,1,1
2015-10-18,34,<1,1
2015-10-19,29,1,1
2015-10-20,35,1,1
2015-10-21,32,1,<1
2015-10-22,35,1,1
2015-10-23,31,1,1
2015-10-24,32,1,1
2015-10-25,36,<1,1
2015-10-26,33,<1,1
2015-10-27,37,1,1
2015-10-28,37,1,1
2015-10-29,42,2,1
2015-10-30,45,1,1
2015-10-31,40,1,1
2015-11-01,43,1,1
2015-11-02,47,1,1
2015-11-03,66,1,2
2015-11-04,86,1,2
2015-11-05,74,1,2
2015-11-06,56,1,2
2015-11-07,47,1,1
2015-11-08,42,<1,1
2015-11-09,48,1,1
2015-11-10,41,1,1
2015-11-11,46,1,1
2015-11-12,42,1,1
2015-11-13,38,1,1
2015-11-14,32,<1,1
2015-11-15,33,1,1
2015-11-16,41,1,1
2015-11-17,36,1,<1
2015-11-18,41,1,1
2015-11-19,40,1,1
2015-11-20,39,1,1
2015-11-21,35,1,1
2015-11-22,36,1,1
2015-11-23,40,1,1
2015-11-24,37,1,1
2015-11-25,36,1,1
2015-11-26,38,1,1
2015-11-27,37,<1,1
2015-11-28,34,<1,1
2015-11-29,35,1,1
2015-11-30,41,1,1
2015-12-01,39,1,1
2015-12-02,36,1,1
2015-12-03,37,1,1
2015-12-04,37,<1,1
2015-12-05,34,1,1
2015-12-06,36,<1,1
2015-12-07,40,<1,1
2015-12-08,47,1,1
2015-12-09,100,1,1
2015-12-10,66,1,1
2015-12-11,53,1,1
2015-12-12,51,1,2
2015-12-13,44,1,2
2015-12-14,44,1,2
2015-12-15,50,1,1
2015-12-16,48,1,1
2015-12-17,41,1,1
2015-12-18,44,1,1
2015-12-19,37,1,1
2015-12-20,38,1,1
2015-12-21,40,1,1
2015-12-22,39,<1,1
2015-12-23,44,1,1
2015-12-24,40,1,2
2015-12-25,36,1,1
2015-12-26,40,1,1
2015-12-27,40,<1,2
2015-12-28,41,1,1
2015-12-29,41,<1,2
2015-12-30,35,<1,1
2015-12-31,36,1,1
