Category: All categories

Week,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2018-01-07,78,16,6,33
2018-01-14,100,13,5,21
2018-01-21,66,8,3,12
2018-01-28,71,8,3,11
2018-02-04,82,7,3,10
2018-02-11,47,5,5,8
2018-02-18,43,4,5,6
2018-02-25,33,4,3,5
2018-03-04,34,4,2,6
2018-03-11,33,3,2,4
2018-03-18,31,3,1,4
2018-03-25,29,3,2,4
