Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
8/11/16,41,5,1,6
8/12/16,40,5,1,7
8/13/16,38,4,1,6
8/14/16,37,5,1,6
8/15/16,42,4,1,6
8/16/16,41,3,0.1,7
8/17/16,42,3,1,7
8/18/16,41,3,1,7
8/19/16,39,4,1,7
8/20/16,35,3,0.1,6
8/21/16,34,3,1,7
8/22/16,40,3,1,7
8/23/16,40,3,1,8
8/24/16,40,4,1,8
8/25/16,42,4,1,7
8/26/16,38,4,1,8
8/27/16,39,3,1,8
8/28/16,40,4,1,8
8/29/16,40,5,1,7
8/30/16,38,4,1,8
8/31/16,42,3,1,7
9/1/16,41,5,1,7
9/2/16,39,4,1,8
9/3/16,43,3,1,7
9/4/16,46,4,1,6
9/5/16,42,4,1,7
9/6/16,41,4,1,8
9/7/16,43,3,0.1,8
9/8/16,49,4,1,9
9/9/16,43,4,1,8
9/10/16,45,3,1,8
9/11/16,42,3,1,6
9/12/16,45,4,1,8
9/13/16,40,3,0.1,7
9/14/16,41,3,1,7
9/15/16,42,5,1,10
9/16/16,42,5,0.1,12
9/17/16,41,4,1,9
9/18/16,42,6,1,10
9/19/16,39,6,1,10
9/20/16,44,6,0.1,9
9/21/16,45,7,1,9
9/22/16,41,6,1,9
9/23/16,41,6,1,10
9/24/16,38,5,1,7
9/25/16,37,5,1,8
9/26/16,40,4,1,8
9/27/16,39,4,1,9
9/28/16,38,4,0.1,10
9/29/16,39,4,0.1,9
9/30/16,40,3,0.1,8
10/1/16,43,4,1,8
10/2/16,40,3,1,7
10/3/16,43,4,1,10
10/4/16,43,5,1,9
10/5/16,44,5,1,9
10/6/16,43,5,1,8
10/7/16,45,5,1,9
10/8/16,43,6,1,8
10/9/16,46,4,1,7
10/10/16,45,5,1,9
10/11/16,51,5,1,8
10/12/16,54,4,1,9
10/13/16,49,5,1,8
10/14/16,48,5,1,9
10/15/16,44,4,1,7
10/16/16,43,4,1,7
10/17/16,46,5,1,9
10/18/16,45,5,1,10
10/19/16,46,6,1,8
10/20/16,45,4,1,9
10/21/16,43,4,1,9
10/22/16,44,3,1,8
10/23/16,48,3,0.1,7
10/24/16,48,4,1,9
10/25/16,48,5,1,8
10/26/16,51,4,1,9
10/27/16,56,5,1,8
10/28/16,58,5,1,9
10/29/16,67,5,1,7
10/30/16,57,4,1,7
10/31/16,58,5,1,8
11/1/16,64,6,1,9
11/2/16,58,4,1,9
11/3/16,63,4,1,8
11/4/16,59,4,1,9
11/5/16,58,3,1,8
11/6/16,57,4,1,8
11/7/16,58,4,1,9
11/8/16,55,5,1,8
11/9/16,77,4,1,7
11/10/16,58,4,1,9
11/11/16,55,5,1,9
11/12/16,54,3,1,7
11/13/16,54,4,1,8
11/14/16,55,5,1,9
11/15/16,54,4,1,8
11/16/16,60,4,1,8
11/17/16,65,4,1,9
11/18/16,62,4,1,9
11/19/16,59,4,1,9
11/20/16,58,3,1,7
11/21/16,56,5,1,8
11/22/16,62,5,1,7
11/23/16,59,4,1,9
11/24/16,60,4,1,8
11/25/16,55,3,1,8
11/26/16,55,3,1,8
11/27/16,56,4,1,8
11/28/16,57,5,1,9
11/29/16,60,4,1,9
11/30/16,59,4,1,9
12/1/16,60,4,1,9
12/2/16,65,5,1,9
12/3/16,58,3,1,8
12/4/16,56,4,1,8
12/5/16,61,5,1,9
12/6/16,61,6,1,9
12/7/16,59,5,1,9
12/8/16,62,4,1,8
12/9/16,56,4,1,8
12/10/16,52,3,1,6
12/11/16,52,3,1,7
12/12/16,59,3,1,7
12/13/16,62,4,1,8
12/14/16,57,4,1,8
12/15/16,58,4,1,7
12/16/16,56,3,1,9
12/17/16,56,3,1,7
12/18/16,56,2,1,8
12/19/16,60,4,1,9
12/20/16,61,4,1,9
12/21/16,73,4,1,10
12/22/16,89,4,1,9
12/23/16,100,5,2,10
12/24/16,81,3,2,10
12/25/16,77,3,1,6
12/26/16,76,3,1,7
12/27/16,84,4,1,9
12/28/16,95,4,2,8
12/29/16,96,5,1,9
12/30/16,85,5,2,9
12/31/16,72,3,1,8
1/1/17,46,2,1,4
1/2/17,81,3,2,5
1/3/17,73,4,1,6
1/4/17,86,4,2,6
1/5/17,100,4,1,5
1/6/17,86,4,1,6
1/7/17,74,3,1,6
1/8/17,65,3,1,5
1/9/17,61,3,1,5
1/10/17,58,3,1,6
1/11/17,69,3,1,6
1/12/17,69,4,1,5
1/13/17,56,2,1,5
1/14/17,52,2,1,4
1/15/17,49,2,1,5
1/16/17,51,3,1,5
1/17/17,54,2,1,5
1/18/17,53,3,1,5
1/19/17,48,3,1,5
1/20/17,46,2,1,5
1/21/17,44,2,1,4
1/22/17,43,2,1,5
1/23/17,46,2,1,5
1/24/17,45,3,1,6
1/25/17,46,2,1,5
1/26/17,44,2,1,5
1/27/17,41,2,1,6
1/28/17,42,2,1,4
1/29/17,40,2,1,5
1/30/17,42,2,1,5
1/31/17,47,3,1,6
2/1/17,48,2,1,6
2/2/17,51,2,0.1,5
2/3/17,54,3,1,5
2/4/17,45,3,1,5
2/5/17,45,2,1,5
2/6/17,46,3,1,5
2/7/17,46,3,1,6
2/8/17,53,3,1,6
2/9/17,59,3,1,6
2/10/17,50,3,1,5
2/11/17,48,2,1,4
2/12/17,46,2,1,5
2/13/17,45,2,1,5
2/14/17,45,4,1,5
2/15/17,45,3,1,6
2/16/17,45,3,1,6
2/17/17,48,3,1,5
2/18/17,49,2,1,5
2/19/17,43,3,1,6
2/20/17,47,3,0.1,6
2/21/17,58,3,1,6
2/22/17,53,3,1,5
2/23/17,59,3,1,5
2/24/17,72,3,1,6
2/25/17,57,3,1,6
2/26/17,50,4,1,5
2/27/17,56,4,1,6
2/28/17,54,9,1,6
3/1/17,57,6,1,6
3/2/17,67,9,1,7
3/3/17,95,8,1,6
3/4/17,72,6,1,5
3/5/17,66,5,1,5
3/6/17,65,6,1,6
3/7/17,70,5,1,5
3/8/17,74,5,1,6
3/9/17,68,4,1,5
3/10/17,93,5,1,5
3/11/17,80,5,1,5
3/12/17,61,8,1,5
3/13/17,63,14,1,6
3/14/17,60,10,1,5
3/15/17,59,10,1,6
3/16/17,60,20,1,8
3/17/17,62,22,1,7
3/18/17,72,14,1,6
3/19/17,62,11,1,6
3/20/17,63,12,1,7
3/21/17,59,12,1,5
3/22/17,63,11,1,7
3/23/17,62,9,1,6
3/24/17,60,11,1,7
3/25/17,63,11,1,6
