Date,Value
2017-09-22,9653662.98815
2017-09-21,6417491.87281
2017-09-20,8556655.83041
2017-09-19,6965995.45168
2017-09-18,8072925.27664
2017-09-17,7751843.02132
2017-09-16,8256400.8511
2017-09-15,7981187.4894
2017-09-14,8715089.78728
2017-09-13,8623352.00004
2017-09-12,7981187.4894
2017-09-11,6329907.31918
2017-09-10,7751843.02132
2017-09-09,8027056.38302
2017-09-08,8072925.27664
2017-09-07,7430760.76599
2017-09-06,8697798.70304
2017-09-05,7726470.9291
2017-09-04,6799294.41761
2017-09-03,7240807.04213
2017-09-02,7682319.66665
2017-09-01,7196655.77967
2017-08-31,7417412.09193
2017-08-30,6578538.10535
2017-08-29,5695512.85631
2017-08-28,6843445.68006
2017-08-27,4635882.55746
2017-08-26,4459277.50765
2017-08-25,4459277.50765
2017-08-24,7297172.1974
2017-08-23,4084580.66396
2017-08-22,5277828.94781
2017-08-21,5966241.41926
2017-08-20,6930018.87929
2017-08-19,6838230.54977
2017-08-18,8215055.49267
2017-08-17,5966241.41926
2017-08-16,6975913.04406
2017-08-15,5966241.41926
2017-08-14,6792336.385
2017-08-13,6195712.24308
2017-08-12,6608759.72595
2017-08-11,6149818.07831
2017-08-10,6333394.73737
2017-08-09,7012946.15317
2017-08-08,6542565.61851
2017-08-07,5986661.35027
2017-08-06,7568850.42141
2017-08-05,7654374.15499
2017-08-04,5901137.6167
2017-08-03,6499803.75172
2017-08-02,6371518.15136
2017-08-01,6200470.68421
2017-07-31,6285994.41778
2017-07-30,6713613.08566
2017-07-29,6414280.01815
2017-07-28,6585327.4853
2017-07-27,5878995.15883
2017-07-26,5918988.32318
2017-07-25,7118783.25355
2017-07-24,6878824.26748
2017-07-23,6398906.29533
2017-07-22,6158947.30925
2017-07-21,6478892.62402
2017-07-20,5958981.48753
2017-07-19,6598872.11706
2017-07-18,5918988.32318
2017-07-17,6518885.78837
2017-07-16,5079131.87192
2017-07-15,5559049.84407
2017-07-14,5530741.54328
2017-07-13,6235294.60611
2017-07-12,6094383.99355
2017-07-11,6939847.66895
2017-07-10,4861416.13358
2017-07-09,5812562.76841
2017-07-08,5213692.665
2017-07-07,5002326.74615
2017-07-06,5248920.31814
2017-07-05,5389830.93071
2017-07-04,5988701.03412
2017-07-03,6622798.79067
2017-07-02,5802100.177
