"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 06, 2018","6,830","6,790","6,880","6,730","0","0.59"
"Apr 05, 2018","6,790","6,780","6,910","6,560","0","-1.45"
"Apr 04, 2018","6,890","7,440","7,440","6,740","4.69K","-7.95"
"Apr 03, 2018","7,485","6,970","7,520","6,970","3.24K","7.16"
"Apr 02, 2018","6,985","6,920","7,140","6,770","4.26K","2.27"
"Apr 01, 2018","6,830","6,860","6,900","6,780","0","-5.66"
"Mar 29, 2018","7,240","7,880","7,990","7,110","4.93K","-8.24"
"Mar 28, 2018","7,890","8,020","8,100","7,750","4.18K","0.00"
"Mar 27, 2018","7,890","7,910","8,280","7,740","5.75K","-0.38"
"Mar 26, 2018","7,920","8,690","8,690","7,840","3.70K","-6.05"
"Mar 25, 2018","8,430","8,690","8,690","8,370","0","-2.03"
"Mar 23, 2018","8,605","8,630","8,780","8,280","3.77K","0.06"
"Mar 22, 2018","8,600","8,900","9,110","8,500","4.21K","-3.48"
"Mar 21, 2018","8,910","9,040","9,190","8,790","4.24K","-1.22"
"Mar 20, 2018","9,020","8,390","9,040","8,330","6.24K","6.81"
"Mar 19, 2018","8,445","8,180","8,730","8,100","7.53K","2.61"
"Mar 18, 2018","8,230","8,170","8,310","8,100","0","-4.14"
"Mar 16, 2018","8,585","8,350","8,660","7,910","9.42K","3.56"
"Mar 15, 2018","8,290","8,100","8,470","7,680","14.14K","0.66"
"Mar 14, 2018","8,236","8,970","9,380","8,200","2.03K","-9.25"
"Mar 13, 2018","9,075","9,050","9,500","8,820","11.44K","2.48"
"Mar 12, 2018","8,855","9,450","9,960","8,740","8.15K","-7.95"
"Mar 11, 2018","9,620","9,310","9,820","9,310","0","5.31"
"Mar 09, 2018","9,135","9,300","9,450","8,380","8.20K","-3.23"
"Mar 08, 2018","9,440","9,980","10,140","9,070","7.75K","-4.02"
"Mar 07, 2018","9,835","10,780","10,900","9,370","8.78K","-8.38"
"Mar 06, 2018","10,735","11,600","11,650","10,550","4.12K","-7.22"
"Mar 05, 2018","11,570","11,350","11,710","11,350","2.64K","0.17"
"Mar 04, 2018","11,550","11,400","11,580","11,400","0","4.86"
"Mar 02, 2018","11,015","11,000","11,220","10,770","4.04K","-0.09"
"Mar 01, 2018","11,025","10,500","11,110","10,200","5.89K","3.09"
"Feb 28, 2018","10,695","10,660","11,040","10,340","5.43K","0.19"
"Feb 27, 2018","10,675","10,350","10,850","10,120","3.03K","3.34"
"Feb 26, 2018","10,330","9,680","10,400","9,290","2.67K","8.05"
"Feb 25, 2018","9,560","9,680","9,700","9,510","0","-3.63"
"Feb 23, 2018","9,920","9,860","10,340","9,530","6.59K","-0.95"
"Feb 22, 2018","10,015","10,330","10,850","9,700","6.78K","-3.14"
"Feb 21, 2018","10,340","11,710","11,770","10,180","8.65K","-11.51"
"Feb 20, 2018","11,685","10,440","11,800","10,330","8.39K","4.24"
"Feb 19, 2018","11,210","10,390","11,270","10,330","0","7.89"
"Feb 18, 2018","10,390","10,150","10,640","10,150","0","2.52"
"Feb 16, 2018","10,135","10,060","10,320","9,740","4.23K","0.40"
"Feb 15, 2018","10,095","9,350","10,220","9,310","5.75K","16.23"
"Feb 14, 2018","8,685","8,610","9,400","8,470","2.14K","0.00"
"Feb 13, 2018","8,685","8,840","8,970","8,340","3.29K","-1.70"
"Feb 12, 2018","8,835","8,320","8,900","8,010","3.27K","9.48"
