,Day,bitcoin: (Worldwide)_x,Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide),bitcoin: (Worldwide)_yearly,ethereum: (Worldwide)_yearly,litecoin: (Worldwide)_yearly
783,2/22/18,26,3.0,2.0,4,,,
784,2/23/18,23,2.0,2.0,3,,,
785,2/24/18,20,2.0,1.0,3,,,
786,2/25/18,19,2.0,2.0,3,19.0,2.0,1.0
787,2/26/18,21,2.0,2.0,3,,,
788,2/27/18,22,2.0,2.0,3,,,
789,2/28/18,21,2.0,1.0,3,,,
790,3/1/18,19,2.0,1.0,3,,,
791,3/2/18,19,2.0,1.0,3,,,
792,3/3/18,19,2.0,1.0,3,,,
793,3/4/18,17,2.0,1.0,3,19.0,2.0,1.0
794,3/5/18,19,2.0,1.0,5,,,
795,3/6/18,19,2.0,1.0,4,,,
796,3/7/18,22,2.0,1.0,3,,,
797,3/8/18,22,2.0,1.0,3,,,
798,3/9/18,24,2.0,1.0,3,,,
799,3/10/18,17,2.0,1.0,2,,,
800,3/11/18,17,2.0,1.0,2,19.0,2.0,1.0
801,3/12/18,20,2.0,1.0,3,,,
802,3/13/18,19,2.0,1.0,3,,,
803,3/14/18,22,2.0,1.0,3,,,
804,3/15/18,24,2.0,1.0,3,,,
805,3/16/18,20,2.0,1.0,3,,,
806,3/17/18,18,2.0,1.0,2,,,
807,3/18/18,22,3.0,1.0,3,18.0,2.0,1.0
808,3/19/18,21,2.0,1.0,3,,,
809,3/20/18,19,2.0,1.0,3,,,
810,3/21/18,19,2.0,1.0,2,,,
811,3/22/18,18,2.0,1.0,2,,,
812,3/23/18,17,2.0,1.0,2,,,
813,3/24/18,15,1.0,1.0,2,,,
814,3/25/18,15,2.0,1.0,2,18.0,2.0,1.0
815,3/26/18,20,2.0,1.0,2,,,
816,3/27/18,19,2.0,1.0,2,,,
817,3/28/18,17,2.0,1.0,3,,,
