date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2017-08-03,420493677.867,20909,7392030000.0,448.49,161518000.0,437.5,20.23473119,null,
2017-08-04,447588072.612,26517,5969720000.0,362.18,185038000.0,237.5,21.32449804,null,
2017-08-05,231673055.86,15194,3809330000.0,231.11,144043000.0,162.5,11.2242577601,null,
2017-08-06,191471418.992,11791,3497290000.0,212.18,107606000.0,812.5,9.15282496002,null,
2017-08-07,282773638.305,16114,3688360000.0,223.76,346546000.0,975.0,8.68035229999,null,
2017-08-08,312076697.58,12855,5297390000.0,321.35,274880000.0,287.5,8.44009814001,null,
2017-08-09,189875351.956,10798,5691960000.0,345.28,165032000.0,1187.5,5.51291228001,null,
2017-08-10,135296549.811,9949,5031790000.0,305.21,136637000.0,1250.0,5.30796253,null,
2017-08-11,189923981.943,10507,4548600000.0,275.88,233971000.0,837.5,4.78128428,null,
2017-08-12,246619061.638,7543,5405200000.0,327.82,126007000.0,900.0,4.60345208,null,
2017-08-13,89313124.2911,7814,5215330000.0,316.29,120722000.0,975.0,4.83887706,null,
2017-08-14,142244610.723,9833,4882720000.0,296.1,174968000.0,1137.5,5.78545113,null,
2017-08-15,145080302.726,7696,4917480000.0,298.19,133924000.0,1400.0,4.87569032,null,
2017-08-16,100329093.162,135552,4914350000.0,297.97,106436000.0,1050.0,4.35333251001,null,
2017-08-17,270791381.501,10813,4964980000.0,301.02,744605000.0,812.5,8.46124585999,null,
2017-08-18,696156355.575,22796,7565590000.0,458.67,3087490000.0,812.5,8.81946855001,null,
2017-08-19,850459716.681,27728,11498100000.0,697.04,3196230000.0,1637.5,11.99113257,null,
2017-08-20,476531316.965,19530,12742600000.0,772.42,1494020000.0,5800.0,8.876545,null,
2017-08-21,329069548.516,16436,11943100000.0,723.7,1123400000.0,9550.0,7.12165057,null,
2017-08-22,472089714.071,15033,9844620000.0,596.19,1393260000.0,10687.5,6.34074654,null,
2017-08-23,344970799.637,9684,11416800000.0,690.96,501983000.0,275.0,4.19772886,null,
2017-08-24,748264395.26,13311,11071100000.0,670.03,407177000.0,7112.5,7.21468871,null,
2017-08-25,375608222.577,10916,10365600000.0,627.06,348632000.0,8600.0,5.53354222001,null,
2017-08-26,266767375.951,8233,10616100000.0,641.88,193414000.0,8450.0,3.66496469,null,
2017-08-27,277237421.11,6328,10357000000.0,625.89,402718000.0,537.5,2.93697367999,null,
2017-08-28,218358917.829,10161,10254800000.0,619.7,216273000.0,2175.0,4.39485369,null,
2017-08-29,586720549.1,12858,9866110000.0,596.13,370017000.0,1775.0,5.11311822,null,
2017-08-30,762988847.786,15867,9092300000.0,549.32,443856000.0,1075.0,3.97986964995,null,
2017-08-31,198901314.438,13568,9538750000.0,576.25,298144000.0,1075.0,4.39237605999,null,
2017-09-01,221605163.699,10362,9740460000.0,588.4,393839000.0,1450.0,3.7594561,null,
