,date,price(USD),eth_price_USD
226,2013-12-13,874.98,
227,2013-12-14,899.85,
228,2013-12-15,875.29,
229,2013-12-16,880.33,
230,2013-12-17,706.37,
231,2013-12-18,678.2,
232,2013-12-19,519.06,
233,2013-12-20,694.22,
234,2013-12-21,619.9,
235,2013-12-22,601.78,
236,2013-12-23,613.06,
237,2013-12-24,672.36,
238,2013-12-25,666.31,
239,2013-12-26,683.94,
240,2013-12-27,763.28,
241,2013-12-28,737.98,
242,2013-12-29,728.05,
243,2013-12-30,741.35,
244,2013-12-31,760.32,
245,2014-01-01,754.97,
246,2014-01-02,773.44,
247,2014-01-03,802.85,
248,2014-01-04,823.27,
249,2014-01-05,858.55,
250,2014-01-06,936.05,
251,2014-01-07,946.49,
252,2014-01-08,795.99,
253,2014-01-09,841.47,
254,2014-01-10,846.69,
255,2014-01-11,867.32,
256,2014-01-12,919.6,
257,2014-01-13,860.19,
258,2014-01-14,843.17,
259,2014-01-15,833.12,
260,2014-01-16,860.29,
261,2014-01-17,834.49,
262,2014-01-18,816.07,
263,2014-01-19,839.66,
264,2014-01-20,871.39,
265,2014-01-21,869.65,
266,2014-01-22,867.21,
267,2014-01-23,845.46,
268,2014-01-24,822.43,
269,2014-01-25,796.24,
270,2014-01-26,853.68,
271,2014-01-27,884.6,
272,2014-01-28,774.02,
273,2014-01-29,809.96,
274,2014-01-30,826.02,
275,2014-01-31,818.43,
276,2014-02-01,828.61,
277,2014-02-02,832.9,
278,2014-02-03,824.08,
279,2014-02-04,823.77,
280,2014-02-05,829.96,
281,2014-02-06,815.59,
282,2014-02-07,783.2,
283,2014-02-08,699.57,
284,2014-02-09,671.46,
285,2014-02-10,681.32,
286,2014-02-11,683.5,
287,2014-02-12,672.38,
288,2014-02-13,651.08,
289,2014-02-14,601.17,
290,2014-02-15,660.9,
291,2014-02-16,651.3,
292,2014-02-17,614.23,
293,2014-02-18,627.16,
294,2014-02-19,625.97,
295,2014-02-20,623.09,
296,2014-02-21,556.88,
297,2014-02-22,574.24,
298,2014-02-23,606.47,
299,2014-02-24,606.04,
300,2014-02-25,540.24,
301,2014-02-26,537.04,
302,2014-02-27,581.65,
303,2014-02-28,579.7,
304,2014-03-01,549.92,
305,2014-03-02,567.23,
306,2014-03-03,562.56,
307,2014-03-04,668.24,
308,2014-03-05,666.24,
309,2014-03-06,664.52,
310,2014-03-07,664.31,
311,2014-03-08,629.66,
312,2014-03-09,616.31,
313,2014-03-10,636.33,
314,2014-03-11,627.95,
315,2014-03-12,631.91,
316,2014-03-13,633.62,
317,2014-03-14,638.14,
318,2014-03-15,629.37,
319,2014-03-16,636.5,
320,2014-03-17,630.92,
321,2014-03-18,621.84,
322,2014-03-19,613.9,
323,2014-03-20,609.75,
324,2014-03-21,588.29,
325,2014-03-22,571.18,
326,2014-03-23,565.76,
327,2014-03-24,562.51,
328,2014-03-25,585.03,
329,2014-03-26,583.48,
330,2014-03-27,580.26,
331,2014-03-28,477.14,
332,2014-03-29,501.71,
333,2014-03-30,492.37,
334,2014-03-31,462.3,
335,2014-04-01,457.0,
336,2014-04-02,479.14,
337,2014-04-03,436.44,
338,2014-04-04,445.66,
339,2014-04-05,446.68,
340,2014-04-06,463.4,
341,2014-04-07,461.47,
342,2014-04-08,447.61,
343,2014-04-09,453.18,
344,2014-04-10,442.26,
345,2014-04-11,363.71,
346,2014-04-12,420.89,
347,2014-04-13,421.46,
348,2014-04-14,414.83,
349,2014-04-15,458.37,
350,2014-04-16,522.18,
