,date,price(USD),eth_price_USD
171,2016-01-28,395.15,2.41
172,2016-01-29,380.11,2.54
173,2016-01-30,378.87,2.51
174,2016-01-31,378.29,2.44
175,2016-02-01,369.35,2.32
176,2016-02-02,372.92,2.22
177,2016-02-03,374.65,2.43
178,2016-02-04,370.17,2.53
179,2016-02-05,388.9,2.57
180,2016-02-06,386.59,2.53
181,2016-02-07,376.51,2.54
182,2016-02-08,376.76,2.97
183,2016-02-09,373.42,3.17
184,2016-02-10,376.15,4.0
185,2016-02-11,382.11,4.5
186,2016-02-12,379.69,5.95
187,2016-02-13,384.64,5.69
188,2016-02-14,392.93,5.4
189,2016-02-15,407.57,5.33
190,2016-02-16,401.43,5.33
191,2016-02-17,407.66,4.29
192,2016-02-18,416.57,3.77
193,2016-02-19,422.73,4.38
194,2016-02-20,421.6,4.68
195,2016-02-21,437.77,4.36
196,2016-02-22,438.99,4.66
197,2016-02-23,438.25,5.68
198,2016-02-24,420.96,5.6
199,2016-02-25,425.04,6.19
200,2016-02-26,424.63,6.04
201,2016-02-27,432.84,5.96
202,2016-02-28,432.57,6.41
203,2016-02-29,433.44,6.46
204,2016-03-01,437.92,6.32
205,2016-03-02,435.13,7.63
206,2016-03-03,423.91,8.44
207,2016-03-04,421.84,9.24
208,2016-03-05,410.78,10.37
209,2016-03-06,400.52,11.2
210,2016-03-07,407.76,11.43
211,2016-03-08,414.46,9.58
212,2016-03-09,413.89,9.79
213,2016-03-10,414.74,11.88
214,2016-03-11,417.24,11.22
215,2016-03-12,421.61,11.13
216,2016-03-13,411.65,13.51
217,2016-03-14,414.2,14.51
218,2016-03-15,416.39,13.0
219,2016-03-16,416.89,13.02
220,2016-03-17,417.89,12.56
221,2016-03-18,420.55,11.11
222,2016-03-19,409.26,11.2
223,2016-03-20,410.4,10.52
224,2016-03-21,413.42,10.3
225,2016-03-22,413.13,11.88
226,2016-03-23,418.16,11.33
227,2016-03-24,418.42,12.44
228,2016-03-25,416.51,11.26
229,2016-03-26,417.37,10.77
230,2016-03-27,418.14,10.99
231,2016-03-28,426.55,10.43
232,2016-03-29,424.3,11.75
233,2016-03-30,416.83,11.61
234,2016-03-31,415.26,11.92
235,2016-04-01,416.76,11.4
236,2016-04-02,418.42,11.63
237,2016-04-03,421.17,11.63
238,2016-04-04,421.3,11.62
239,2016-04-05,421.02,11.21
240,2016-04-06,424.28,10.45
241,2016-04-07,423.62,10.7
242,2016-04-08,422.91,10.08
243,2016-04-09,420.81,9.69
244,2016-04-10,419.59,9.15
245,2016-04-11,421.87,8.94
246,2016-04-12,422.84,8.64
247,2016-04-13,425.63,7.44
248,2016-04-14,423.94,8.08
249,2016-04-15,424.43,8.39
250,2016-04-16,429.57,8.24
251,2016-04-17,430.64,8.62
252,2016-04-18,427.61,9.33
253,2016-04-19,428.7,9.08
254,2016-04-20,435.32,8.69
255,2016-04-21,441.42,8.45
256,2016-04-22,449.69,8.15
257,2016-04-23,445.86,7.79
258,2016-04-24,450.56,8.29
259,2016-04-25,459.12,8.01
260,2016-04-26,461.65,7.53
261,2016-04-27,466.26,7.39
262,2016-04-28,445.04,7.74
263,2016-04-29,449.41,7.21
264,2016-04-30,455.18,7.45
265,2016-05-01,448.48,8.78
266,2016-05-02,451.93,8.89
267,2016-05-03,444.73,10.17
268,2016-05-04,450.18,9.38
269,2016-05-05,446.71,9.4
270,2016-05-06,447.94,9.81
271,2016-05-07,459.64,9.32
272,2016-05-08,458.43,9.37
273,2016-05-09,458.21,9.49
274,2016-05-10,460.52,9.28
275,2016-05-11,450.86,9.43
276,2016-05-12,452.45,10.0
277,2016-05-13,454.85,10.06
278,2016-05-14,455.82,10.51
279,2016-05-15,455.76,10.24
280,2016-05-16,457.59,9.97
281,2016-05-17,454.01,11.19
282,2016-05-18,453.69,12.18
283,2016-05-19,454.52,13.54
284,2016-05-20,437.79,14.85
285,2016-05-21,442.97,13.69
286,2016-05-22,443.22,14.04
287,2016-05-23,439.35,14.28
288,2016-05-24,444.29,13.31
289,2016-05-25,446.06,12.79
290,2016-05-26,449.67,12.52
291,2016-05-27,453.52,12.39
292,2016-05-28,473.03,11.33
293,2016-05-29,527.48,12.11
294,2016-05-30,528.47,12.33
295,2016-05-31,534.19,12.74
296,2016-06-01,531.11,14.11
297,2016-06-02,536.51,13.99
298,2016-06-03,537.68,13.74
299,2016-06-04,569.71,13.86
300,2016-06-05,573.31,13.76
301,2016-06-06,574.6,14.0
302,2016-06-07,585.45,13.95
303,2016-06-08,577.17,14.51
304,2016-06-09,582.2,14.43
305,2016-06-10,575.84,14.38
306,2016-06-11,578.67,13.91
307,2016-06-12,609.68,14.19
308,2016-06-13,671.65,15.77
309,2016-06-14,704.5,17.61
310,2016-06-15,685.68,18.91
311,2016-06-16,696.52,18.36
312,2016-06-17,768.49,20.65
313,2016-06-18,748.76,15.38
314,2016-06-19,756.69,11.17
315,2016-06-20,763.93,12.24
316,2016-06-21,735.88,11.82
317,2016-06-22,665.91,13.2
318,2016-06-23,597.44,13.22
319,2016-06-24,625.58,13.68
320,2016-06-25,665.28,14.3
321,2016-06-26,665.93,14.26
322,2016-06-27,629.35,13.81
323,2016-06-28,658.1,13.93
324,2016-06-29,644.12,12.17
325,2016-06-30,640.59,12.6
326,2016-07-01,672.51,12.44
327,2016-07-02,676.73,12.22
328,2016-07-03,704.97,12.12
329,2016-07-04,658.8,11.7
330,2016-07-05,683.21,11.46
331,2016-07-06,670.42,10.58
332,2016-07-07,678.09,10.54
333,2016-07-08,640.69,10.12
334,2016-07-09,666.38,11.42
335,2016-07-10,650.6,10.96
336,2016-07-11,648.48,10.94
337,2016-07-12,648.28,10.45
338,2016-07-13,664.8,10.51
339,2016-07-14,652.92,10.6
340,2016-07-15,659.17,11.5
341,2016-07-16,663.78,11.92
342,2016-07-17,661.99,11.62
343,2016-07-18,679.81,11.17
344,2016-07-19,672.74,11.05
345,2016-07-20,672.81,11.59
346,2016-07-21,665.23,12.46
347,2016-07-22,664.92,12.66
348,2016-07-23,650.73,14.67
349,2016-07-24,655.41,14.3
350,2016-07-25,661.26,12.74
351,2016-07-26,654.23,13.82
352,2016-07-27,651.63,12.05
353,2016-07-28,654.49,12.98
354,2016-07-29,655.11,12.84
355,2016-07-30,657.01,12.8
356,2016-07-31,655.1,12.44
357,2016-08-01,624.6,11.89
358,2016-08-02,606.4,10.95
359,2016-08-03,548.66,8.88
360,2016-08-04,566.33,10.31
361,2016-08-05,578.28,11.02
362,2016-08-06,575.03,10.92
363,2016-08-07,587.77,10.86
364,2016-08-08,592.74,10.91
365,2016-08-09,591.04,11.27
366,2016-08-10,587.65,12.23
367,2016-08-11,592.12,12.14
368,2016-08-12,588.8,11.69
369,2016-08-13,587.36,11.77
370,2016-08-14,585.59,11.58
371,2016-08-15,570.49,11.2
372,2016-08-16,567.24,11.23
373,2016-08-17,577.76,11.13
374,2016-08-18,573.71,10.75
375,2016-08-19,574.34,10.75
376,2016-08-20,576.08,10.75
377,2016-08-21,581.94,11.25
378,2016-08-22,581.31,11.19
379,2016-08-23,586.77,11.14
380,2016-08-24,583.41,11.02
381,2016-08-25,580.18,11.03
382,2016-08-26,577.75,11.35
383,2016-08-27,579.45,11.29
384,2016-08-28,569.83,11.15
385,2016-08-29,574.07,10.92
386,2016-08-30,574.11,10.99
387,2016-08-31,577.59,11.24
388,2016-09-01,575.55,11.67
389,2016-09-02,572.41,11.96
390,2016-09-03,575.55,12.11
391,2016-09-04,598.59,11.75
392,2016-09-05,608.99,11.68
393,2016-09-06,606.51,11.73
394,2016-09-07,610.57,11.69
395,2016-09-08,614.63,11.55
396,2016-09-09,626.35,11.41
397,2016-09-10,622.93,11.66
398,2016-09-11,623.42,12.21
399,2016-09-12,607.0,11.64
400,2016-09-13,608.02,11.89
401,2016-09-14,608.84,11.9
402,2016-09-15,610.59,11.94
403,2016-09-16,607.25,11.96
404,2016-09-17,607.22,12.56
405,2016-09-18,606.28,12.69
406,2016-09-19,609.87,12.44
407,2016-09-20,609.25,13.21
408,2016-09-21,603.59,14.43
409,2016-09-22,597.28,13.66
410,2016-09-23,596.2,13.21
411,2016-09-24,602.96,13.32
412,2016-09-25,602.75,12.85
413,2016-09-26,600.81,13.17
414,2016-09-27,608.02,12.86
415,2016-09-28,606.24,13.11
416,2016-09-29,605.02,13.28
417,2016-09-30,605.72,13.08
418,2016-10-01,609.93,13.2
419,2016-10-02,613.95,13.18
420,2016-10-03,610.97,13.2
421,2016-10-04,612.05,13.45
422,2016-10-05,610.22,13.28
423,2016-10-06,612.47,13.03
424,2016-10-07,612.61,12.85
425,2016-10-08,617.34,12.67
426,2016-10-09,619.17,12.22
427,2016-10-10,616.82,12.06
428,2016-10-11,619.24,11.76
429,2016-10-12,640.87,11.78
430,2016-10-13,636.03,11.91
431,2016-10-14,637.01,11.99
432,2016-10-15,640.31,11.94
433,2016-10-16,639.08,11.98
434,2016-10-17,641.82,11.96
435,2016-10-18,639.41,12.0
436,2016-10-19,638.13,12.59
437,2016-10-20,630.66,12.05
438,2016-10-21,630.83,12.13
439,2016-10-22,633.14,12.18
440,2016-10-23,657.62,12.13
441,2016-10-24,657.16,12.04
442,2016-10-25,654.0,11.97
443,2016-10-26,657.68,11.38
444,2016-10-27,678.21,11.53
445,2016-10-28,688.0,11.47
446,2016-10-29,690.29,11.1
447,2016-10-30,714.12,10.43
448,2016-10-31,702.64,11.23
449,2016-11-01,701.34,10.96
450,2016-11-02,730.07,10.77
451,2016-11-03,742.35,10.8
452,2016-11-04,689.12,10.82
453,2016-11-05,703.52,11.09
454,2016-11-06,703.81,10.99
455,2016-11-07,710.74,10.9
456,2016-11-08,703.09,10.85
457,2016-11-09,709.83,10.82
458,2016-11-10,722.84,10.67
459,2016-11-11,715.55,10.51
460,2016-11-12,716.75,10.29
461,2016-11-13,705.2,9.89
462,2016-11-14,702.0,10.1
463,2016-11-15,705.79,9.97
464,2016-11-16,711.17,10.22
465,2016-11-17,744.88,10.06
466,2016-11-18,740.71,9.99
467,2016-11-19,751.83,9.48
468,2016-11-20,751.88,9.66
469,2016-11-21,731.26,9.58
470,2016-11-22,739.64,9.63
471,2016-11-23,751.74,9.92
472,2016-11-24,744.62,9.85
473,2016-11-25,740.44,9.23
474,2016-11-26,741.51,9.42
475,2016-11-27,735.44,9.31
476,2016-11-28,732.48,9.0
477,2016-11-29,736.33,8.73
478,2016-11-30,736.28,8.16
479,2016-12-01,746.05,8.6
480,2016-12-02,757.54,8.46
481,2016-12-03,778.25,7.77
482,2016-12-04,771.64,7.9
483,2016-12-05,773.39,7.41
484,2016-12-06,758.72,6.8
485,2016-12-07,764.21,7.89
486,2016-12-08,768.08,8.38
487,2016-12-09,769.94,8.17
488,2016-12-10,773.02,8.44
489,2016-12-11,774.75,8.13
490,2016-12-12,770.04,8.19
491,2016-12-13,780.65,8.52
492,2016-12-14,780.0,8.45
493,2016-12-15,780.07,8.24
494,2016-12-16,778.96,7.86
495,2016-12-17,785.17,7.86
496,2016-12-18,791.01,7.86
497,2016-12-19,790.69,7.87
498,2016-12-20,792.25,7.63
499,2016-12-21,800.64,7.66
500,2016-12-22,834.18,7.9
501,2016-12-23,864.89,7.58
502,2016-12-24,922.18,7.15
503,2016-12-25,899.65,7.26
504,2016-12-26,896.9,7.13
505,2016-12-27,908.35,7.28
506,2016-12-28,934.83,7.15
507,2016-12-29,975.13,7.54
508,2016-12-30,972.53,8.29
509,2016-12-31,960.63,8.15
510,2017-01-01,963.66,7.98
511,2017-01-02,998.62,8.17
512,2017-01-03,1021.6,8.37
513,2017-01-04,1044.4,9.71
514,2017-01-05,1156.73,11.29
515,2017-01-06,1014.24,10.29
516,2017-01-07,903.49,10.24
517,2017-01-08,908.17,9.87
518,2017-01-09,913.24,10.31
519,2017-01-10,902.44,10.37
520,2017-01-11,908.12,10.54
521,2017-01-12,775.18,9.72
522,2017-01-13,803.74,9.83
523,2017-01-14,825.14,9.79
524,2017-01-15,818.14,9.83
525,2017-01-16,821.78,9.88
526,2017-01-17,830.95,9.64
527,2017-01-18,909.37,10.3
528,2017-01-19,888.34,10.24
529,2017-01-20,898.17,10.39
530,2017-01-21,895.55,10.6
531,2017-01-22,922.21,10.91
532,2017-01-23,925.5,10.71
533,2017-01-24,910.68,10.73
534,2017-01-25,891.92,10.62
535,2017-01-26,902.39,10.57
536,2017-01-27,918.36,10.58
537,2017-01-28,919.81,10.54
538,2017-01-29,922.07,10.56
539,2017-01-30,920.15,10.49
540,2017-01-31,920.96,10.56
541,2017-02-01,970.94,10.74
542,2017-02-02,990.0,10.74
543,2017-02-03,1011.46,10.81
544,2017-02-04,1031.33,11.13
545,2017-02-05,1043.52,11.44
546,2017-02-06,1028.4,11.35
547,2017-02-07,1040.14,11.43
548,2017-02-08,1062.32,11.54
549,2017-02-09,1064.7,11.44
550,2017-02-10,995.63,11.04
551,2017-02-11,988.9,11.29
552,2017-02-12,1003.52,11.35
553,2017-02-13,998.88,11.38
554,2017-02-14,991.74,11.29
555,2017-02-15,1006.21,13.04
556,2017-02-16,1007.65,12.92
557,2017-02-17,1026.12,12.9
558,2017-02-18,1049.21,12.71
559,2017-02-19,1054.76,12.82
560,2017-02-20,1048.69,12.77
561,2017-02-21,1079.28,12.34
562,2017-02-22,1114.8,12.69
563,2017-02-23,1117.27,12.6
564,2017-02-24,1172.71,13.13
565,2017-02-25,1170.41,13.06
566,2017-02-26,1144.27,13.52
567,2017-02-27,1163.78,14.51
568,2017-02-28,1180.72,15.45
569,2017-03-01,1180.04,15.85
570,2017-03-02,1224.68,17.36
571,2017-03-03,1250.71,19.04
572,2017-03-04,1277.43,19.52
573,2017-03-05,1254.29,18.5
574,2017-03-06,1267.47,19.28
575,2017-03-07,1273.21,19.58
576,2017-03-08,1223.23,18.88
577,2017-03-09,1150.35,16.64
578,2017-03-10,1189.36,17.74
579,2017-03-11,1116.32,19.37
580,2017-03-12,1176.62,21.46
581,2017-03-13,1221.78,23.5
582,2017-03-14,1232.16,28.57
583,2017-03-15,1240.16,28.65
584,2017-03-16,1251.33,35.36
585,2017-03-17,1180.16,45.93
586,2017-03-18,1099.69,46.87
587,2017-03-19,976.73,35.53
588,2017-03-20,1037.24,44.83
