date,btc_price,eth_price,ltc_price
10/16/17,5687.57,336.71,65.72
10/17/17,5741.58,333.48,64.67
10/18/17,5603.82,316.94,59.59
10/19/17,5583.74,314.54,60.82
10/20/17,5708.11,308.05,59.81
10/21/17,5996.79,303.57,60.3
10/22/17,6036.66,300.55,58.27
10/23/17,6006,295.1,56.77
10/24/17,5935.52,287.12,54.96
10/25/17,5524.6,298.44,55.95
10/26/17,5747.95,298.02,56.47
10/27/17,5899.74,296.51,55.67
10/28/17,5787.82,297.92,55.38
10/29/17,5754.44,296.38,54.67
10/30/17,6114.85,304.78,56.84
10/31/17,6132.02,307.38,56.37
11/1/17,6440.97,305.76,55.74
11/2/17,6777.77,290.73,53.56
11/3/17,7087.53,288.5,54.58
11/4/17,7164.48,305.48,56.22
11/5/17,7404.52,300.04,55.03
11/6/17,7403.22,296.43,54.76
11/7/17,7023.1,298.57,54.99
11/8/17,7141.38,294.27,61.11
11/9/17,7446.83,308.64,62.49
11/10/17,7173.73,320.67,64.44
11/11/17,6618.61,298.59,59.35
11/12/17,6295.45,314.69,62.31
11/13/17,5938.25,307.02,59.18
11/14/17,6561.48,316.76,61.64
11/15/17,6634.76,337.96,62.78
11/16/17,7323.24,333.44,63.81
11/17/17,7853.57,330.17,70.45
11/18/17,7697.21,331.98,67.41
11/19/17,7766.03,347.4,69.51
11/20/17,8039.07,354.09,71.41
11/21/17,8205.74,367.44,72.2
11/22/17,8077.95,360.31,70.18
11/23/17,8232.38,381.44,71.98
11/24/17,8074.02,412.5,73.14
11/25/17,8241.71,475.68,77.91
11/26/17,8789.04,465.97,88.94
11/27/17,9352.72,471.53,85.89
11/28/17,9823.43,480.52,91.72
11/29/17,10077.4,473.28,96.01
11/30/17,9906.79,431.21,86.25
12/1/17,10198.6,445.21,88
12/2/17,10978.3,466.85,98.94
12/3/17,11082.7,463.7,100.19
12/4/17,11315.4,466.05,101.4
12/5/17,11685.7,470.29,104.28
12/6/17,11923.4,462.6,102.48
12/7/17,14266.1,426.37,99.98
12/8/17,17802.9,434.99,98.33
12/9/17,16523.3,457.34,127.48
12/10/17,15168.4,472.79,155.63
12/11/17,15427.4,440.36,148.26
12/12/17,16919.8,522.29,212.46
12/13/17,17500,644.91,315.36
12/14/17,16384.6,700.59,301.2
12/15/17,16601.3,696.38,280.97
12/16/17,17760.3,686.19,299.34
12/17/17,19475.8,696.24,301.78
12/18/17,19106.4,721.73,318.95
12/19/17,19118.3,793.9,359.13
12/20/17,17760.3,827.52,349.6
12/21/17,16642.4,820.24,314.66
12/22/17,15898,822.64,319.26
12/23/17,13948.7,681.32,269.27
12/24/17,14608.2,721.77,291.01
12/25/17,13995.9,698.87,277.49
12/26/17,14036.6,763.37,273.11
12/27/17,16163.5,774.97,286.59
12/28/17,15864.1,762.21,272.13
12/29/17,14695.8,740.39,250.35
12/30/17,14681.9,753.82,245.09
12/31/17,12897.7,712.21,216.97
1/1/18,14112.2,755.76,231.67
1/2/18,13625,772.35,228.99
1/3/18,14978.2,886,255.69
1/4/18,15270.7,961.71,245.47
1/5/18,15477.2,975.75,241.03
1/6/18,17462.1,995.15,249.77
1/7/18,17527.3,1043.01,296.05
1/8/18,16476.2,1158.26,287.73
1/9/18,15123.7,1146,254.61
1/10/18,14588.5,1300.34,248.07
1/11/18,14968.2,1268.09,251.52
1/12/18,13453.9,1158.29,229.79
1/13/18,13952.4,1270.47,236.88
1/14/18,14370.8,1397.48,260.58
1/15/18,13767.3,1365.21,237.29
1/16/18,13836.1,1292.63,232.82
1/17/18,11431.1,1061.34,190.15
1/18/18,11198.8,1016.44,186.95
1/19/18,11429.8,1028.82,191.19
1/20/18,11656.2,1044.95,194.38
1/21/18,12889.2,1155.68,211.24
1/22/18,11633.1,1055.35,191.79
1/23/18,10944.5,1004.17,180.28
1/24/18,10903.4,987.48,178.43
1/25/18,11421.7,1063.22,181.56
1/26/18,11256,1052.7,179.82
1/27/18,11174.9,1055.75,176.66
1/28/18,11475.3,1111.78,181.42
1/29/18,11755.5,1246.7,193.75
1/30/18,11306.8,1184.13,181.44
1/31/18,10108.2,1071.09,165.3
2/1/18,10237.3,1119.37,163.68
2/2/18,9142.28,1035.77,142.56
2/3/18,8852.12,919.21,131.4
2/4/18,9175.7,964.67,160.38
2/5/18,8270.54,834.96,148.73
2/6/18,7051.75,707.74,127.52
2/7/18,7755.49,790.43,142.48
2/8/18,7637.86,755.84,138.34
2/9/18,8271.84,818.48,149.73
2/10/18,8720.08,882.47,163.49
2/11/18,8616.13,859.29,155.39
2/12/18,8141.43,817.51,150.1
2/13/18,8926.72,869.29,161.78
2/14/18,8599.92,844.28,159.58
2/15/18,9488.32,923.73,212.35
2/16/18,10135.7,934.79,225.5
2/17/18,10207.5,944.75,229.5
2/18/18,11123.4,973.35,230.51
2/19/18,10552.6,921.67,215.41
2/20/18,11231.8,943.57,223.09
