Category: All categories

Day,cyber attack: (Worldwide)
2017-01-01,32
2017-01-02,60
2017-01-03,48
2017-01-04,38
2017-01-05,91
2017-01-06,43
2017-01-07,81
2017-01-08,64
2017-01-09,58
2017-01-10,52
2017-01-11,82
2017-01-12,56
2017-01-13,47
2017-01-14,28
2017-01-15,38
2017-01-16,37
2017-01-17,54
2017-01-18,66
2017-01-19,48
2017-01-20,41
2017-01-21,55
2017-01-22,47
2017-01-23,81
2017-01-24,100
2017-01-25,54
2017-01-26,67
2017-01-27,50
2017-01-28,64
2017-01-29,62
2017-01-30,63
2017-01-31,77
2017-02-01,49
2017-02-02,49
2017-02-03,47
2017-02-04,34
2017-02-05,17
2017-02-06,36
2017-02-07,53
2017-02-08,60
2017-02-09,55
2017-02-10,59
2017-02-11,38
2017-02-12,24
2017-02-13,44
2017-02-14,57
2017-02-15,48
2017-02-16,63
2017-02-17,27
2017-02-18,38
2017-02-19,20
2017-02-20,48
2017-02-21,53
2017-02-22,50
2017-02-23,60
2017-02-24,38
2017-02-25,45
2017-02-26,37
2017-02-27,43
2017-02-28,97
2017-03-01,74
2017-03-02,49
2017-03-03,40
2017-03-04,27
2017-03-05,53
2017-03-06,66
2017-03-07,76
2017-03-08,56
2017-03-09,47
2017-03-10,40
2017-03-11,38
2017-03-12,42
2017-03-13,44
2017-03-14,64
2017-03-15,77
2017-03-16,48
2017-03-17,34
2017-03-18,17
2017-03-19,23
2017-03-20,51
2017-03-21,65
2017-03-22,62
2017-03-23,66
2017-03-24,37
2017-03-25,17
2017-03-26,17
2017-03-27,44
2017-03-28,51
2017-03-29,57
2017-03-30,54
2017-03-31,43
