Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2017-01-01,46,2,1,4
2017-01-02,81,3,2,5
2017-01-03,73,4,1,6
2017-01-04,86,4,2,6
2017-01-05,100,4,1,5
2017-01-06,86,4,1,6
2017-01-07,74,3,1,6
2017-01-08,65,3,1,5
2017-01-09,61,3,1,5
2017-01-10,58,3,1,6
2017-01-11,69,3,1,6
2017-01-12,69,4,1,5
2017-01-13,56,2,1,5
2017-01-14,52,2,1,4
2017-01-15,49,2,1,5
2017-01-16,51,3,1,5
2017-01-17,54,2,1,5
2017-01-18,53,3,1,5
2017-01-19,48,3,1,5
2017-01-20,46,2,1,5
2017-01-21,44,2,1,4
2017-01-22,43,2,1,5
2017-01-23,46,2,1,5
2017-01-24,45,3,1,6
2017-01-25,46,2,1,5
2017-01-26,44,2,1,5
2017-01-27,41,2,1,6
2017-01-28,42,2,1,4
2017-01-29,40,2,1,5
2017-01-30,42,2,1,5
2017-01-31,47,3,1,6
2017-02-01,48,2,1,6
2017-02-02,51,2,<1,5
2017-02-03,54,3,1,5
2017-02-04,45,3,1,5
2017-02-05,45,2,1,5
2017-02-06,46,3,1,5
2017-02-07,46,3,1,6
2017-02-08,53,3,1,6
2017-02-09,59,3,1,6
2017-02-10,50,3,1,5
2017-02-11,48,2,1,4
2017-02-12,46,2,1,5
2017-02-13,45,2,1,5
2017-02-14,45,4,1,5
2017-02-15,45,3,1,6
2017-02-16,45,3,1,6
2017-02-17,48,3,1,5
2017-02-18,49,2,1,5
2017-02-19,43,3,1,6
2017-02-20,47,3,<1,6
2017-02-21,58,3,1,6
2017-02-22,53,3,1,5
2017-02-23,59,3,1,5
2017-02-24,72,3,1,6
2017-02-25,57,3,1,6
2017-02-26,50,4,1,5
2017-02-27,56,4,1,6
2017-02-28,54,9,1,6
2017-03-01,57,6,1,6
2017-03-02,67,9,1,7
2017-03-03,95,8,1,6
2017-03-04,72,6,1,5
2017-03-05,66,5,1,5
2017-03-06,65,6,1,6
2017-03-07,70,5,1,5
2017-03-08,74,5,1,6
2017-03-09,68,4,1,5
2017-03-10,93,5,1,5
2017-03-11,80,5,1,5
2017-03-12,61,8,1,5
2017-03-13,63,14,1,6
2017-03-14,60,10,1,5
2017-03-15,59,10,1,6
2017-03-16,60,20,1,8
2017-03-17,62,22,1,7
2017-03-18,72,14,1,6
2017-03-19,62,11,1,6
2017-03-20,63,12,1,7
2017-03-21,59,12,1,5
2017-03-22,63,11,1,7
2017-03-23,62,9,1,6
2017-03-24,60,11,1,7
2017-03-25,63,11,1,6
2017-03-26,54,10,1,6
2017-03-27,57,10,1,7
2017-03-28,54,9,1,7
2017-03-29,53,10,1,7
2017-03-30,51,9,4,9
2017-03-31,50,9,3,9
