Category: All categories

Day,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
2015-04-01,53,<1,2
2015-04-02,58,1,1
2015-04-03,53,1,2
2015-04-04,51,1,1
2015-04-05,51,<1,2
2015-04-06,56,1,2
2015-04-07,50,1,1
2015-04-08,53,<1,1
2015-04-09,56,<1,3
2015-04-10,55,0,1
2015-04-11,50,<1,2
2015-04-12,48,1,2
2015-04-13,52,<1,2
2015-04-14,56,1,2
2015-04-15,49,<1,1
2015-04-16,49,1,2
2015-04-17,49,<1,2
2015-04-18,50,<1,1
2015-04-19,44,1,2
2015-04-20,49,1,2
2015-04-21,47,1,2
2015-04-22,55,<1,1
2015-04-23,51,1,2
2015-04-24,52,<1,1
2015-04-25,47,1,2
2015-04-26,50,<1,2
2015-04-27,50,1,1
2015-04-28,49,1,1
2015-04-29,48,1,2
2015-04-30,54,<1,1
2015-05-01,43,1,1
2015-05-02,43,1,1
2015-05-03,43,<1,1
2015-05-04,47,<1,1
2015-05-05,46,1,2
2015-05-06,47,<1,2
2015-05-07,48,<1,1
2015-05-08,46,1,2
2015-05-09,41,<1,1
2015-05-10,47,1,2
2015-05-11,47,1,2
2015-05-12,51,1,1
2015-05-13,51,1,2
2015-05-14,59,<1,2
2015-05-15,49,<1,1
2015-05-16,45,<1,2
2015-05-17,51,<1,1
2015-05-18,52,1,1
2015-05-19,53,1,2
2015-05-20,52,1,2
2015-05-21,49,1,1
2015-05-22,51,<1,2
2015-05-23,50,1,3
2015-05-24,48,1,2
2015-05-25,48,1,2
2015-05-26,52,1,1
2015-05-27,51,1,1
2015-05-28,48,1,1
2015-05-29,49,<1,1
2015-05-30,58,<1,3
2015-05-31,55,1,2
2015-06-01,51,1,2
2015-06-02,51,<1,2
2015-06-03,47,<1,1
2015-06-04,50,1,1
2015-06-05,50,1,1
2015-06-06,48,<1,2
2015-06-07,46,1,1
2015-06-08,46,<1,1
2015-06-09,50,<1,1
2015-06-10,48,1,2
2015-06-11,43,1,1
2015-06-12,49,1,2
2015-06-13,43,<1,1
2015-06-14,45,<1,2
2015-06-15,46,<1,2
2015-06-16,56,<1,3
2015-06-17,56,<1,3
2015-06-18,100,<1,2
2015-06-19,56,1,2
2015-06-20,56,<1,2
2015-06-21,52,1,2
2015-06-22,52,1,2
2015-06-23,52,<1,2
2015-06-24,46,<1,2
2015-06-25,49,<1,2
2015-06-26,42,1,2
2015-06-27,55,<1,2
2015-06-28,48,<1,2
2015-06-29,61,1,3
2015-06-30,74,<1,4
