date,btc_per,eth_per,ltc_per
4/28/15,49,1,1
4/29/15,48,1,2
4/30/15,54,0.1,1
5/1/15,43,1,1
5/2/15,43,1,1
5/3/15,43,0.1,1
5/4/15,47,0.1,1
5/5/15,46,1,2
5/6/15,47,0.1,2
5/7/15,48,0.1,1
5/8/15,46,1,2
5/9/15,41,0.1,1
5/10/15,47,1,2
5/11/15,47,1,2
5/12/15,51,1,1
5/13/15,51,1,2
5/14/15,59,0.1,2
5/15/15,49,0.1,1
5/16/15,45,0.1,2
5/17/15,51,0.1,1
5/18/15,52,1,1
5/19/15,53,1,2
5/20/15,52,1,2
5/21/15,49,1,1
5/22/15,51,0.1,2
5/23/15,50,1,3
5/24/15,48,1,2
5/25/15,48,1,2
5/26/15,52,1,1
5/27/15,51,1,1
5/28/15,48,1,1
5/29/15,49,0.1,1
5/30/15,58,0.1,3
5/31/15,55,1,2
6/1/15,51,1,2
6/2/15,51,0.1,2
6/3/15,47,0.1,1
6/4/15,50,1,1
6/5/15,50,1,1
6/6/15,48,0.1,2
6/7/15,46,1,1
6/8/15,46,0.1,1
6/9/15,50,0.1,1
6/10/15,48,1,2
6/11/15,43,1,1
6/12/15,49,1,2
6/13/15,43,0.1,1
6/14/15,45,0.1,2
6/15/15,46,0.1,2
6/16/15,56,0.1,3
6/17/15,56,0.1,3
6/18/15,100,0.1,2
6/19/15,56,1,2
6/20/15,56,0.1,2
6/21/15,52,1,2
6/22/15,52,1,2
6/23/15,52,0.1,2
6/24/15,46,0.1,2
6/25/15,49,0.1,2
6/26/15,42,1,2
6/27/15,55,0.1,2
6/28/15,48,0.1,2
6/29/15,61,1,3
6/30/15,74,0.1,4
7/1/15,76,1,3
7/2/15,71,0.1,3
7/3/15,70,1,3
7/4/15,68,1,2
7/5/15,77,0.1,4
7/6/15,84,1,6
7/7/15,77,1,4
7/8/15,75,1,6
7/9/15,78,1,7
7/10/15,82,1,9
7/11/15,76,0.1,5
7/12/15,86,1,4
7/13/15,77,1,3
7/14/15,70,1,3
7/15/15,67,1,3
7/16/15,72,1,3
7/17/15,67,1,3
7/18/15,67,0.1,3
7/19/15,66,1,2
7/20/15,66,1,2
7/21/15,64,1,2
7/22/15,63,0.1,3
7/23/15,60,1,2
7/24/15,65,1,2
7/25/15,62,1,2
7/26/15,69,1,4
7/27/15,77,2,3
7/28/15,68,1,2
7/29/15,65,2,2
7/30/15,61,4,3
7/31/15,62,5,3
8/1/15,100,3,3
8/2/15,83,3,3
8/3/15,72,2,2
8/4/15,68,3,2
8/5/15,64,2,2
8/6/15,62,3,2
8/7/15,63,4,2
8/8/15,61,3,2
8/9/15,60,4,2
8/10/15,59,2,2
8/11/15,62,3,2
8/12/15,61,3,2
8/13/15,64,4,2
8/14/15,58,5,2
8/15/15,59,4,3
8/16/15,63,2,2
8/17/15,63,3,2
8/18/15,75,2,2
8/19/15,87,2,2
8/20/15,78,2,3
8/21/15,74,2,2
8/22/15,70,3,2
8/23/15,71,2,2
8/24/15,84,2,2
8/25/15,81,2,5
8/26/15,70,2,3
8/27/15,65,1,3
8/28/15,66,1,2
8/29/15,65,1,2
8/30/15,67,1,2
8/31/15,64,2,2
9/1/15,65,2,2
9/2/15,58,2,1
9/3/15,62,2,2
9/4/15,57,2,1
9/5/15,55,1,2
9/6/15,63,2,2
9/7/15,60,2,2
9/8/15,61,2,2
9/9/15,64,2,2
9/10/15,62,1,2
9/11/15,60,1,1
9/12/15,57,2,1
9/13/15,57,1,1
9/14/15,59,2,1
9/15/15,63,2,1
9/16/15,61,2,1
9/17/15,62,1,2
9/18/15,67,1,2
9/19/15,64,1,2
9/20/15,60,1,2
9/21/15,61,1,2
9/22/15,67,1,1
9/23/15,64,1,2
9/24/15,60,1,1
9/25/15,58,1,2
9/26/15,63,1,1
9/27/15,57,1,2
9/28/15,59,1,2
9/29/15,61,2,1
9/30/15,61,2,2
10/1/15,27,1,1
10/2/15,27,0.1,1
10/3/15,27,0.1,1
10/4/15,27,0.1,1
10/5/15,26,0.1,1
10/6/15,31,1,1
10/7/15,30,1,1
10/8/15,31,0.1,1
10/9/15,27,1,1
10/10/15,29,0.1,1
10/11/15,27,1,1
10/12/15,27,1,1
10/13/15,29,1,1
10/14/15,31,1,1
10/15/15,27,0.1,1
10/16/15,32,0.1,1
10/17/15,31,1,1
10/18/15,34,0.1,1
10/19/15,29,1,1
10/20/15,35,1,1
10/21/15,32,1,0.1
10/22/15,35,1,1
10/23/15,31,1,1
10/24/15,32,1,1
10/25/15,36,0.1,1
10/26/15,33,0.1,1
10/27/15,37,1,1
10/28/15,37,1,1
10/29/15,42,2,1
10/30/15,45,1,1
10/31/15,40,1,1
11/1/15,43,1,1
11/2/15,47,1,1
11/3/15,66,1,2
11/4/15,86,1,2
11/5/15,74,1,2
11/6/15,56,1,2
11/7/15,47,1,1
11/8/15,42,0.1,1
11/9/15,48,1,1
11/10/15,41,1,1
11/11/15,46,1,1
11/12/15,42,1,1
11/13/15,38,1,1
11/14/15,32,0.1,1
11/15/15,33,1,1
11/16/15,41,1,1
11/17/15,36,1,0.1
11/18/15,41,1,1
11/19/15,40,1,1
11/20/15,39,1,1
11/21/15,35,1,1
11/22/15,36,1,1
11/23/15,40,1,1
11/24/15,37,1,1
11/25/15,36,1,1
11/26/15,38,1,1
11/27/15,37,0.1,1
11/28/15,34,0.1,1
11/29/15,35,1,1
11/30/15,41,1,1
12/1/15,39,1,1
12/2/15,36,1,1
12/3/15,37,1,1
12/4/15,37,0.1,1
12/5/15,34,1,1
12/6/15,36,0.1,1
12/7/15,40,0.1,1
12/8/15,47,1,1
12/9/15,100,1,1
12/10/15,66,1,1
