date,btc_per,eth_per,ltc_per
2/5/18,64,6,2
2/6/18,81,6,2
2/7/18,51,4,2
2/8/18,43,4,2
2/9/18,38,3,2
2/10/18,30,3,2
2/11/18,27,3,1
2/12/18,31,3,1
2/13/18,28,3,1
2/14/18,29,3,5
2/15/18,31,3,4
2/16/18,27,3,3
2/17/18,26,3,3
2/18/18,27,3,4
2/19/18,25,3,3
2/20/18,28,3,4
2/21/18,28,3,3
2/22/18,26,3,2
2/23/18,23,2,2
2/24/18,20,2,1
2/25/18,19,2,2
2/26/18,21,2,2
2/27/18,22,2,2
2/28/18,21,2,1
3/1/18,19,2,1
3/2/18,19,2,1
3/3/18,19,2,1
3/4/18,17,2,1
3/5/18,19,2,1
3/6/18,19,2,1
3/7/18,22,2,1
3/8/18,22,2,1
3/9/18,24,2,1
3/10/18,17,2,1
3/11/18,17,2,1
3/12/18,20,2,1
3/13/18,19,2,1
3/14/18,22,2,1
3/15/18,24,2,1
3/16/18,20,2,1
3/17/18,18,2,1
3/18/18,22,3,1
3/19/18,21,2,1
3/20/18,19,2,1
3/21/18,19,2,1
3/22/18,18,2,1
3/23/18,17,2,1
3/24/18,15,1,1
3/25/18,15,2,1
3/26/18,20,2,1
3/27/18,19,2,1
3/28/18,17,2,1
