Date,Value
2018-04-10,3511060552900.0
2018-04-09,3511060552900.0
2018-04-08,3511060552900.0
2018-04-07,3511060552900.0
2018-04-06,3511060552900.0
2018-04-05,3511060552900.0
2018-04-04,3511060552900.0
2018-04-03,3511060552900.0
2018-04-02,3494288842680.0
2018-04-01,3462542391190.0
2018-03-31,3462542391190.0
2018-03-30,3462542391190.0
2018-03-29,3462542391190.0
2018-03-28,3462542391190.0
2018-03-27,3462542391190.0
2018-03-26,3462542391190.0
2018-03-25,3462542391190.0
2018-03-24,3462542391190.0
2018-03-23,3462542391190.0
2018-03-22,3462542391190.0
2018-03-21,3462542391190.0
2018-03-20,3462542391190.0
2018-03-19,3381698122500.0
2018-03-18,3290605988760.0
2018-03-17,3290605988760.0
2018-03-16,3290605988760.0
2018-03-15,3290605988760.0
2018-03-14,3290605988760.0
2018-03-13,3290605988760.0
2018-03-12,3290605988760.0
2018-03-11,3290605988760.0
2018-03-10,3290605988760.0
2018-03-09,3290605988760.0
2018-03-08,3290605988760.0
2018-03-07,3290605988760.0
2018-03-06,3233581400370.0
2018-03-05,3007383866430.0
2018-03-04,3007383866430.0
2018-03-03,3007383866430.0
2018-03-02,3007383866430.0
2018-03-01,3007383866430.0
2018-02-28,3007383866430.0
2018-02-27,3007383866430.0
2018-02-26,3007383866430.0
2018-02-25,3007383866430.0
2018-02-24,3007383866430.0
2018-02-23,3007383866430.0
2018-02-22,3007383866430.0
2018-02-21,2967853337740.0
2018-02-20,2874674234420.0
2018-02-19,2874674234420.0
2018-02-18,2874674234420.0
2018-02-17,2874674234420.0
2018-02-16,2874674234420.0
2018-02-15,2874674234420.0
2018-02-14,2874674234420.0
2018-02-13,2874674234420.0
2018-02-12,2874674234420.0
2018-02-11,2874674234420.0
2018-02-10,2874674234420.0
2018-02-09,2874674234420.0
2018-02-08,2874674234420.0
2018-02-07,2607870187290.0
2018-02-06,2603077300220.0
2018-02-05,2603077300220.0
2018-02-04,2603077300220.0
2018-02-03,2603077300220.0
2018-02-02,2603077300220.0
2018-02-01,2603077300220.0
2018-01-31,2603077300220.0
2018-01-30,2603077300220.0
2018-01-29,2603077300220.0
2018-01-28,2603077300220.0
2018-01-27,2603077300220.0
2018-01-26,2460585023620.0
2018-01-25,2227847638500.0
2018-01-24,2227847638500.0
2018-01-23,2227847638500.0
2018-01-22,2227847638500.0
2018-01-21,2227847638500.0
2018-01-20,2227847638500.0
2018-01-19,2227847638500.0
2018-01-18,2227847638500.0
2018-01-17,2227847638500.0
2018-01-16,2227847638500.0
2018-01-15,2227847638500.0
2018-01-14,2134254177770.0
2018-01-13,1931136454490.0
2018-01-12,1931136454490.0
2018-01-11,1931136454490.0
2018-01-10,1931136454490.0
2018-01-09,1931136454490.0
2018-01-08,1931136454490.0
2018-01-07,1931136454490.0
2018-01-06,1931136454490.0
2018-01-05,1931136454490.0
2018-01-04,1931136454490.0
2018-01-03,1931136454490.0
2018-01-02,1922580604980.0
2018-01-01,1873105475220.0
2017-12-31,1873105475220.0
2017-12-30,1873105475220.0
2017-12-29,1873105475220.0
2017-12-28,1873105475220.0
2017-12-27,1873105475220.0
2017-12-26,1873105475220.0
2017-12-25,1873105475220.0
2017-12-24,1873105475220.0
2017-12-23,1873105475220.0
2017-12-22,1873105475220.0
2017-12-21,1873105475220.0
2017-12-20,1873105475220.0
2017-12-19,1718045833480.0
2017-12-18,1590896927260.0
2017-12-17,1590896927260.0
2017-12-16,1590896927260.0
2017-12-15,1590896927260.0
2017-12-14,1590896927260.0
2017-12-13,1590896927260.0
2017-12-12,1590896927260.0
2017-12-11,1590896927260.0
2017-12-10,1590896927260.0
2017-12-09,1590896927260.0
2017-12-08,1590896927260.0
2017-12-07,1407975304730.0
2017-12-06,1347001430560.0
2017-12-05,1347001430560.0
